latlong,beautiful,boring,depressing,lively,safe,wealthy,lat,lon,node_id,division,lat_trans,lon_trans,ismtpn
"-38.72195452,-72.61084164",-0.3596451107398732,0.2700527506603147,0.3637658067250813,-0.3758312351567688,-0.3290454061212349,-0.3664005963975301,-38.72195452,-72.61084164,8504902951,Temuco,-8083001.917435826,-4681921.839187509,0.428245065456399
"-38.72233956,-72.60896416",0.7154819447443601,-0.1934248004109238,-0.617940268396203,0.4534401946367323,0.5686294083370402,0.6743608800904664,-38.72233956,-72.60896416,1134171626,Temuco,-8082792.917318251,-4681976.777766427,0.428245065456399
"-38.72233956,-72.60958998666666",-0.0238232539333065,0.0988687462414392,0.0986654007546383,-0.2284124254601547,-0.16101247338549,-0.1359144036839426,-38.72233956,-72.60958998666666,1134171656,Temuco,-8082862.584024108,-4681976.777766427,0.428245065456399
"-38.72233956,-72.61021581333334",-0.3515295749018494,0.3747977910171098,0.3731239505321397,-0.2806641332585669,-0.1492158598174666,-0.2510017831281295,-38.72233956,-72.61021581333334,8504902963,Temuco,-8082932.250729967,-4681976.777766427,0.428245065456399
"-38.7227246,-72.60833833333334",0.7944997163994243,-0.1068291346759853,-0.5367509777543495,-0.0766632350956377,0.1255216382783142,0.3027588861104435,-38.7227246,-72.60833833333334,1134171765,Temuco,-8082723.250612392,-4682031.716641364,0.428245065456399
"-38.7227246,-72.60896416",0.0957168159200598,0.1471059623326249,0.0189491798794518,-0.2829417151608755,-0.114826759192059,-0.1507625280287183,-38.7227246,-72.60896416,1043199965,Temuco,-8082792.917318251,-4682031.716641364,0.428245065456399
"-38.7227246,-72.61021581333334",-0.5461584480993658,0.1159529513211182,0.425675418027327,-0.1496032077517863,-0.3337046224874809,-0.3941174594911121,-38.7227246,-72.61021581333334,730272314,Temuco,-8082932.250729967,-4682031.716641364,0.428245065456399
"-38.72310964,-72.60771250666667",0.401754234492631,-0.2725238797329239,-0.3148068121323573,0.0741483582222104,-0.0543544234407975,0.0903736539118975,-38.72310964,-72.60771250666667,1043199761,Temuco,-8082653.583906535,-4682086.65581233,0.428245065456399
"-38.72310964,-72.60833833333334",0.5791464602146608,-0.0499900486040201,-0.431440395093603,0.0409907869804437,0.2186967230879646,0.3083470319972887,-38.72310964,-72.60833833333334,1134171659,Temuco,-8082723.250612392,-4682086.65581233,0.428245065456399
"-38.72310964,-72.60896416",0.1973306220971551,-0.3020019543098386,-0.1520896747107198,0.1657711386894513,0.0066970092072686,0.135282268495902,-38.72310964,-72.60896416,4408520628,Temuco,-8082792.917318251,-4682086.65581233,0.428245065456399
"-38.72310964,-72.60958998666666",-0.2846542497111195,0.2899428519767166,0.3294983447397079,-0.4455714917009451,-0.326899838825657,-0.4508712944293516,-38.72310964,-72.60958998666666,730272041,Temuco,-8082862.584024108,-4682086.65581233,0.428245065456399
"-38.72349468,-72.60771250666667",0.0422911985223108,0.2165349462253364,0.0714877803132836,-0.3048046403208502,-0.0853296436022621,-0.1783198908616932,-38.72349468,-72.60771250666667,1043199844,Temuco,-8082653.583906535,-4682141.5952793285,0.428245065456399
"-38.72349468,-72.60833833333334",-0.3679900181700184,-0.2807291293319947,0.1582514819846052,0.2255327216082134,-0.1993945394782261,-0.1166739051269283,-38.72349468,-72.60833833333334,1134171659,Temuco,-8082723.250612392,-4682141.5952793285,0.428245065456399
"-38.72349468,-72.60896416",0.2496598263582652,0.2407237069021102,-0.0787892055927399,-0.2074656026077717,0.1632589987190003,0.1049882310407597,-38.72349468,-72.60896416,730271777,Temuco,-8082792.917318251,-4682141.5952793285,0.428245065456399
"-38.72387972,-72.60708668",0.1802237672830948,-0.0661412189648775,-0.1192045005642379,-0.0172700644115151,0.01467020913821,0.0849313598917373,-38.72387972,-72.60708668,1043199779,Temuco,-8082583.917200676,-4682196.535042366,0.428245065456399
"-38.72387972,-72.60771250666667",0.3514436306830522,-0.4115349434747437,-0.3615245290386557,0.3931885288598931,0.1925941229742394,0.2527973083374903,-38.72387972,-72.60771250666667,1043199844,Temuco,-8082653.583906535,-4682196.535042366,0.428245065456399
"-38.72387972,-72.60833833333334",-0.1320346986287133,0.3093688811655475,0.217809550497535,-0.4486567783177349,-0.2328550163953713,-0.2951194302828439,-38.72387972,-72.60833833333334,8504902965,Temuco,-8082723.250612392,-4682196.535042366,0.428245065456399
"-38.72426476,-72.60708668",-0.2072234306679785,0.2749519273082103,0.2656751115223978,-0.396105999078699,-0.3206973956395744,-0.3899961676939694,-38.72426476,-72.60708668,1043199673,Temuco,-8082583.917200676,-4682251.475101446,0.428245065456399
"-38.72426476,-72.60771250666667",-0.4322841282061345,0.3013311690647826,0.3589966202623471,-0.1336363392456117,-0.0760684071001889,-0.1837376052032548,-38.72426476,-72.60771250666667,730272340,Temuco,-8082653.583906535,-4682251.475101446,0.428245065456399
"-38.7246498,-72.60708668",0.3254760849034577,0.1697759007026716,-0.145485293576969,-0.2199922773744136,0.0160850860603214,0.0568577879343703,-38.7246498,-72.60708668,8475947624,Temuco,-8082583.917200676,-4682306.415456578,0.428245065456399
"-38.7246498,-72.60771250666667",-0.3912824938274202,0.0173141005535628,0.2969363128529201,-0.1050741957861827,-0.317416163121248,-0.305112051816242,-38.7246498,-72.60771250666667,1043199747,Temuco,-8082653.583906535,-4682306.415456578,0.428245065456399
"-38.72503484,-72.60646085333333",-0.3875189366352145,-0.0038968123748989,0.3398970597197408,-0.2998411596646482,-0.5580563623780148,-0.5433624781669033,-38.72503484,-72.60646085333333,3136436297,Temuco,-8082514.250494817,-4682361.356107762,0.428245065456399
"-38.72503484,-72.60708668",0.4250715162722347,0.1358083205974495,-0.2126676473843076,-0.1480935244214429,0.1894488727335739,0.1736102741977063,-38.72503484,-72.60708668,730272066,Temuco,-8082583.917200676,-4682361.356107762,0.428245065456399
"-38.72541988,-72.60583502666667",-0.2559590158771874,-0.0627620486580077,0.2523082688620799,-0.2526791785621345,-0.4735550340084749,-0.52235120537676,-38.72541988,-72.60583502666667,1134171810,Temuco,-8082444.583788959,-4682416.29705501,0.428245065456399
"-38.72541988,-72.60646085333333",0.0362041887858006,0.0844461787653109,-0.0322089613880334,0.033266112374831,0.2154343269440031,0.0703864175987962,-38.72541988,-72.60646085333333,1134171526,Temuco,-8082514.250494817,-4682416.29705501,0.428245065456399
"-38.72580492,-72.60583502666667",0.057026541646961,0.3688940004873297,0.0644145162796361,-0.3456575414462592,-0.0480544070613566,-0.0910374826623703,-38.72580492,-72.60583502666667,8475947625,Temuco,-8082444.583788959,-4682471.238298325,0.428245065456399
"-38.72618996,-72.6052092",-0.1098808725894886,0.1429609537801917,0.1043685012835664,-0.1372296576796943,-0.099497510274066,-0.1762438673051958,-38.72618996,-72.6052092,6107889259,Temuco,-8082374.917083102,-4682526.179837712,0.428245065456399
"-38.71656396,-72.55514306666666",0.2006804004593263,-0.0366065873242529,-0.2332475472945074,0.2051802322199771,0.332060318561445,0.3619918852261024,-38.71656396,-72.55514306666666,446369735,Temuco,-8076801.580614446,-4681152.7301617535,0.536172472435914
"-38.716949,-72.55451724",-0.1133556127204944,-0.1006752218679104,0.0085361097261364,0.0883629201776934,0.0256240482130603,-0.0148527417598487,-38.716949,-72.55451724,446312560,Temuco,-8076731.913908589,-4681207.664596965,0.536172472435914
"-38.716949,-72.55514306666666",0.0046721824288273,-0.2438412175960356,-0.0570535159749547,0.0947730639885382,-0.0968677843165435,-0.0376578038663926,-38.716949,-72.55514306666666,446369735,Temuco,-8076801.580614446,-4681207.664596965,0.536172472435914
"-38.716949,-72.55576889333332",0.7933380103321079,-0.3780356583253783,-0.6086501292762456,0.3809411507667273,0.4196909059785811,0.528726557603389,-38.716949,-72.55576889333332,8432292468,Temuco,-8076871.247320304,-4681207.664596965,0.536172472435914
"-38.71733404,-72.55389141333333",0.0786630930537044,-0.1203678151278595,-0.128496676492877,0.1623871410498552,0.1475942215858068,0.1009232470940793,-38.71733404,-72.55389141333333,8437647312,Temuco,-8076662.24720273,-4681262.599328119,0.536172472435914
"-38.71733404,-72.55451724",-0.4783192984426945,-0.2025504340966829,0.2546798377755139,0.1545886940626231,-0.2070983975070368,-0.2636853014230347,-38.71733404,-72.55451724,704726961,Temuco,-8076731.913908589,-4681262.599328119,0.536172472435914
"-38.71733404,-72.55514306666666",-0.1803797615757698,0.0269244175523929,0.2038618943075614,-0.1834418612104627,-0.3138905940072571,-0.3085440489505495,-38.71733404,-72.55514306666666,446312557,Temuco,-8076801.580614446,-4681262.599328119,0.536172472435914
"-38.71733404,-72.55576889333332",0.4678154797286136,-0.0044540607756448,-0.3491492116173345,0.1504869410288056,0.3069512224794382,0.3911765396535398,-38.71733404,-72.55576889333332,5869602896,Temuco,-8076871.247320304,-4681262.599328119,0.536172472435914
"-38.71771908,-72.55389141333333",-0.1243098979312462,-0.2154029384506793,0.0586749582061738,0.2159351339443826,-0.0440505466360643,-0.0029192094939318,-38.71771908,-72.55389141333333,446312561,Temuco,-8076662.24720273,-4681317.534355221,0.536172472435914
"-38.71771908,-72.55451724",-0.2617430350147696,0.1732089369712675,0.2384619545503863,-0.1723113510784588,-0.1310468940243547,-0.18136560046793,-38.71771908,-72.55451724,704726962,Temuco,-8076731.913908589,-4681317.534355221,0.536172472435914
"-38.71771908,-72.55514306666666",-0.122484330261791,-0.2623944558636848,-0.0219461403286684,0.3999468269524548,0.183308965813199,0.1401054505890715,-38.71771908,-72.55514306666666,446366993,Temuco,-8076801.580614446,-4681317.534355221,0.536172472435914
"-38.71771908,-72.55576889333332",-0.0252477539546052,-0.2498443829226088,-0.1760713983221054,0.4724693174078769,0.3556585971202661,0.3319464231065638,-38.71771908,-72.55576889333332,1067068186,Temuco,-8076871.247320304,-4681317.534355221,0.536172472435914
"-38.71810412,-72.55389141333333",-0.1285781031721431,-0.0617525608168698,0.083698609969171,0.1071957947195125,0.0107030971695847,0.0442519635176001,-38.71810412,-72.55389141333333,446312558,Temuco,-8076662.24720273,-4681372.469678275,0.536172472435914
"-38.71810412,-72.55451724",0.1979418063307383,-0.2111345503907198,-0.0590597789441016,-0.0297637623774236,-0.1410493884922274,-0.1432525748099944,-38.71810412,-72.55451724,704726964,Temuco,-8076731.913908589,-4681372.469678275,0.536172472435914
